Records	Attributes	Size	Gen3 Import Time, s	PFB Import to, s	PFB Export from, s	Gen3 Export Time, s
260	399	256K	14	3	3	2
260	399	256K	16	3	3	2
260	399	256K	14	4	4	2
260	399	256K	15	3	3	2
2600	399	1.9M	120	3	5	2
2600	399	1.9M	124	4	6	2
2600	399	1.9M	119	4	5	2
2600	399	1.9M	122	3	6	2
26000	399	19M	1207	13	10	12
26000	399	19M	1209	14	12	13
26000	399	19M	1217	13	11	10
26000	399	19M	1206	12	11	8
260000	399	184M	13320	91	70	83
260000	399	184M	13398	93	72	90
260000	399	184M	13325	92	68	88
260000	399	184M	13354	92	69	89
2600000	399	1.9G	126000 (estimated)	1260	551	901
2600000	399	1.9G	126001 (estimated)	1265	554	879
2600000	399	1.9G	126002 (estimated)	1269	549	948
2600000	399	1.9G	126003 (estimated)	1261	553	922